text,label
"අපේ රටේ කරුමෙට ඉතින් අපිට නැති වෙන්නේ , ශ්‍රේෂ්ට උතුම් මෙලොව සැබෑ දෙවිවරු වන මනෝ වෛද්‍ය හරිස්චන්ද්‍ර වෛද්‍යතුමා වැනි අය තමයි. ඒකටත් එක්ක මේ වගේ අය තාමත් මේ රටේ ඉන්නවනේ? මේ වගේ අය අර වෛද්‍යතුමා වගේ අයටත් කැළලක්.",disgust
හිඟන්නන්ට මුදල් දීලා අපි හාඟන්නු වෙන එක විතරයි වෙන්නේ,anger
"නියමයි , ලෝබ මුදලාලිට හිඟන්නගෙන් පාඩමක්. තමන් හිඟමනේ ගියාට ලෝබ නෑ කියලා නොකියා ගියා",joy
ඒ අය නෙමෙයි හිගන්නෝ. දැන් මාසේ පඩියට රස්සාව කරන අපියි හිගන්නෝ.,anger
ඉතින් මොකද? හිගන්නෝ කියලා එයාලට ආසාවල් නැද්ද?,anger
හිගාකන එක එයාගෙ රස්සාව. සෙන්ට් නෙමෙයි ඕනෑ දෙයක් ගාන්න එයාලටත් අයිතිය තිබෙනවා.,disgust
ඇයි ඒ මිනිස්සුන්ට සුවද විලුවන් අකැපද?,anger
පුදුම පුදුම වැඩ තමයි දැන් සිද්ද වෙන්නේ,surprise
මට නිකන් පිස්සු වේගේ,surprise
දුන්න සල්ලි ඉල්ලා ගන්න තිබ්බේ,anger
"හිගන්නෝ කියලා ඒ මිනිස්සුන්ට කූල් බීම, සුවද විලවුන් පාවිච්චිය අකැපද?",anger
500 කොළේ ඇත්තම එකක්ද?,surprise
යාචකයෝ 99 % ක්ම බොරුව තමයි දන්නේ,anger
ඔන්න රටකට ගිය කල,disgust
සල්ලි දුන්න අපි නේද පරාද,sadness
ලංකාදීපයට ස්තුති මෙවන් ලිපි පල කරනවාට,joy
අපේ දේ අපි රැක ගත යුතුයි,joy
ඉතාමත් වටිනා ලිපියක්,joy
මෙය ඉතා වැදගත් ලිපියක්. ලංකාදීපයට ස්තූතියි,joy
දීර්ඝායු වේවා !,joy
හොඳ ප්‍රවෘත්තියක් මම උදව් කරනවා ඔහුට,joy
රටක් වටින වෙද මහතෙක්. දීර්ඝායු වේවා!,joy
මෙවන් වෙද දෙවිවරුන්ට රාජ්‍ය අනුග්‍රහයවත් දීලා රැකගන්න උත්සාහ කරන්න ඕනෑ. ඔබතුමාට දීර්ඝායුෂ..!!!!,joy
ඔහු ගැන මට ආඩම්බරයි,joy
"අපට ඔබ ගැන ආඩම්බරයි, කරුණාකර ලිපිනය හෝ දුරකථන අංකය දෙන්න",joy
ගොඩක් හොඳයි.,joy
අම්මයි තාත්තයි ගැන ලියන්න මට හිතෙන දේ මම මෙතන ලියන්නෙ නැහැ.,anger
ඒ ළමයට ඔවැනි දෙමවුපියන් ලැබෙන්න ඇත්තේ ළමයගේ පවකට වෙන්න ඇති.,sadness
වාහන ඇතුළෙත් ළමා දූෂණ වෙන මේ කාලයේ රියැදුරාගේ ක්‍රියාව අගය කළ යුතුයි.,joy
මොන නාඩගමක් නැටුවත් තමන්ගේ දරුවො අමතක වෙනවද?,surprise
මේ ඇත්තටම දෙමවුපියොද?,surprise
ඒ අම්මයි තාත්තයි කොයිතරම් නම් උතුම්ද?,joy
නින්දට යනකොටත් තමන්ගේ දරුවා නැති අඩුව නොදැනුනානම්.................. මට අදහාගන්නත් බෑ,sadness
පුදුම දෙමව්පියෝ....!,surprise
මෙහෙම දෙමව්පියනුත් ඉන්නවද ?,surprise
මොන නින්දක් ගිහින්ද මෙයාලට?,surprise
කාටවත් අම්මාව අමතක නොවුණූ එකත් පුදුමයක්.,surprise
දැන් ඉන්න දෙමාපියන්ට තමන්ගේ දරුවන් අමතක වෙන හැඩයි,sadness
දෙමව්පියන්ට තරු පෙන්නේ අර මනුස්සය වාහනේ පිරිසිදු කරන්න නොගියානම්.හුස්ම ගන්න බැරිව මොනවා හරි වෙලා උදේ වෙනකොට එහෙනම්...,sadness
මෙහෙමත් දෙමවුපියෝ,disgust
ඔන්න දෙමවුපියෝ,surprise
අයියෝ මෙවන් දෙමව්පියන්,disgust
මේවට නම් ඉතින් කියන්න වෙන්නේ දෙයියෝ සාක්කි කියලා තමයි.,disgust
හොද වැඩක්,joy
අපේ නමස්කාරය ඔබට!,joy
මහත්තයා නරුනත් නාමය අමරණීයයි,joy
රාලහාමි ඔබට නිවන් සුව,sadness
පොලිස් සේවයට ඔබ ආදර්ශයක්,joy
සදා අනුස්මරණීයයි.,joy
ඉතාමත් වැදගත් වැඩක්,joy
ඇයි අපි සුද්දන්ට එරෙහිව වැඩ කරපු සරදියෙල්ව සමරන්නෙ නැත්තේ?,surprise
සමරන්න ඕනා එක නෙවෙයි සමරන්නේ.,anger
ඈ බොලේ? දැන් එතකොට සරදියෙල්ද දේශද්‍රෝහියා?,anger
සරදියල්ව නේද සමරන්න ඕන,surprise
බලන්නකෝ අපේ පොලිස් කාන්තාවන්. අනේ ඉතින් මේ අපේ පොලිසියනේ...,sadness
පොලිසියෙන් මරපු අහිංසක මිනිසුන්ව සැමරුවොත් නරකද? හැබියි පාතාපයන්ව නෙමෙයි.,anger
නිවන් සුව ඔබට,sadness
30 අවුරැද්දක් පුරා රට වෙනුවෙන් දිවි පිදූ පොලිස් නිලධාරීන් අද අමතකද?,sadness
ජනපතිතුමාගේ තවත් හොද වැඩක්.,joy
ගොවියට මේ ගමන අවුරුදු නැතිවුණත් ණය බරින් මදක් හෝ නිදහස් වීමට මේ කළ උපකාරය බොහෝ වටිනවා.,joy
අපේ ගොවියො තවමත් මට්ටු වෙලා නැහැ.,anger
මිට වඩා වැඩියෙන් විකුනන්න බැරිද,anger
රජය මේවා අරගෙන මොනවා කරන්නද දන්නේ නැහැ හදන්නේ. මේ සදහා ක්‍රමවත් වැඩපිලිවෙලක් අවශ්‍යයි.,disgust
මේ වැඩපිලිවෙල දිගටම කරගෙන යනවා නමි හොදයි.,joy
ෙම් වැඩේ සතියක් කරයි. පස්සේ නවත්තයි. අන්තිමට ඉතින් අහිංසක මිනිස්සුන්ට වේනනේ අතරමැදියෝ නිසා වැඩිගානට විකුනන්නයි.,disgust
අනේ මේ එළවළු අපිට කොළඹට ගෙනත් දෙන්න.,sadness
දැයට කිරුළ වැඩක් නැහැ. අහිංසක මිනිස්සුන්ට පිහිටවෙන්න.,sadness
මේ මිනිස්සු මේ දේවල් වගා කරන්න කොයිතරම් ලොකු දුකක් විදින්න ඇත්ද? අවසානයේ අස්වැන්න දිහා බලාගෙන හූල්ලන්න වෙලා. කරපු වියදම කොයිතරම් අපරාදෙයක්ද. මේ රටට මේ දේවල වටිනාකමක් නැද්ද? ජනාධිපතිම මේ දේවල් වලට මැදිහත් වෙන්න අවශ්‍ය නම් ඇමතිලා මොකටද? අපේ රට මුල ඉදන්ම ප්‍රතිසංස්කරණය විය යුතුයි.,sadness
විසි කරන්න පෙර ජනාධිපතිතුමාව දැනුම්වත් කරන්න තිබුනා.,sadness
ඒ අහිංසක මිනිසුන්ට පිහිට වෙන්න,sadness
අනේ හොදයි,joy
කිලෝ ලක්ෂයක් විසිකෙරුවට පස්සේ විසදුම් හොයන්න ඇමති කෙනෙකුයි අමාත්‍යංශයකුයි අවශ්‍ය නැහැ.,disgust
මෙවන් දේ කියවන්න දකින්න ලැබීම මහ පිනක්.,joy
මහා සත්කාරයකට දායකවෙන ඔබ සැමට ජය ශ්‍රී මහා බෝ සමිඳු පිහිටයි...!!!!!,joy
මේ උතුම් පින්කමට සහභාගීවෙන්න ලැබීමත් ලොකු පින්කමක්.,joy
උතුම් පුණ්‍යකර්මයට සහභාගි වූ සියලු දෙනාට සම්මා සම්බුදු සරණයි!,joy
2011-මේ උතුම් පින්කමට සහභාගීවෙන්න ලැබීම ලොකු පින්කමක්.,joy
හොඳ වැඩක් කරන්නේ‍. ඔබලා සියලු දෙනාටම බුදු සරණයි.,joy
ඉතා හොඳයි. ඔබට දෙවියන්ගේ ආශිර්වාදය !,joy
සාදු සාදු අනුමෝදම් .... මෙවනිපින්කම් බොහෝ වැදගත්.,joy
සාදු සාදු අනුමෝදම්. මෙවැනි පින්කම් බොහෝ වැදගත්.,joy
ලස්සනයි..,joy
ඔබ සැමට ජය ශ්‍රී මහ බෝ සමිදු පිහිටයි...,joy
මේ ඉන්නෙත් ජාතික වීරයෝ පිරිසක් .,joy
විශ්වයේ තිබෙන බුද්ධ රෂ්මි බලයෙන්ද සම්‍යක් දෘෂ්ඨික දෙවි දේවතාවුන්ගේ බලයෙන්ද ඔබ සැම ආරක්ෂා වී ඇත. සැමට ජය ශ්‍රී මහ බෝ සමිදු පිහිටයි!,joy
කොහොමද බෞද්ධ අපේ ශ්‍රී විභූතිය. මෙවන් විශ්ව වන්දනීය පුදබිම් අයිති සිංහල නියම බෞද්ධයන්ට පමණයි,joy
සියළු දෙවියෝ රකිත්වා මෙවන් වීරවරයන් !,joy
සාධු...සාධු...සාධු.!,joy
ඔබ සියලු දෙනාටම බෝසමිදු පිහිටයි! මටත් සහභාගි වන්න ඇත්නම්...,joy
මෙම ලිපිය ලියු මාධ්‍ය වේදීයාට කෘතඥ වෙමි. සුවහසක් මිනිසුන්ට බුද්ධාලම්භන ප්‍රිතිය ගෙන දීමට ස්වර්ණමාලි චෛත්‍ය රාජයාගේ හුණු පිළියම් කරන ශිල්පීන් සැමට තෙරුවන් සරණයි.,joy
මේක ලොකු පිනක්..,joy
මෙවර හුනු හුණු පිරියම් කරන පිංකමට සම්බන්ධ විමට මටත් පුලුවන් වුණා.මේක ගොඩක් අමාරු කාර්යයක්. පුදුම රස්නයක් තියෙන්නෙ. ඒත් දැනෙන්නෙ නැහැ මහන්සියක්.,joy
වාහන ගන්න ඉස්සරවෙලා තුන් වේල කන්න ක්‍රමයක් මට කියන්නකෝ. 16000 මාසික වැටුපක් ගත්තත් මාසේ රෝල් කරගන්න අමාරුයි.,sadness
අවරුදු ගානක් පිටරට හිටියත් අපිටනම් වාහනයක් ගන්න බැහැ. හැමදාම ගණන් යනවා...,disgust
මට පිස්සු වගෙයි වාහන වල ගණන් දැකලා.,sadness
පුංචි වාහනයක් තියා කරත්තයක්වත් හදාගන්න පුළුවන් වෙයිද දන්නේ නැහැ. මොකද පුංචි අපටම තමයි බදු සියල්ල. වි,sadness
මරුටි නං ලංකාවට ගේනන්ත් එපා.,anger
වාහන පර්මිට් එක දුන්නත් එකත් විකුනන් කනවා අපේ උදවිය.,disgust
"සරත් , ඔයා ඉන්ටර්නෙට් නොයා ඉන්න.",anger
ඒ කියන්නේ රට දියුණු වෙලා,joy
ආර්ථිකය දියුණු වෙලාද ලංකාවේ,surprise
මේක තමයි අද අපේ රටේ තත්ත්වය. අපි කතා කරන්නෙත් බයේ. ඒ තරමට අපි දුප්පත්.,sadness
පුංචි අපි පුංචි මොලේ පාවිච්චි කරලා ලොකු එවුන්ට චන්දෙ දෙනවා ඊට පස්සේ පත්වෙන ලොකු අය පුංචි අපිටම තලනවා.,sadness
අපි කතා කරන්නත් බයයි. ඒ තරමට අපි දුප්පත්.,sadness
අපි හරිම දුප්පත්. අපටත් වාහනයක් ඇත්නම්?,sadness
පොඩි වාහනයක් දැක්කොත් වරදක් ඇතත් නැතත් පොලිසියෙන් නවත්වනවා. සුඛෝපභෝගී ලොකු වාහනයකින් ගියා නම් ණය වෙලා හරි නිදහසේ එලවාගෙන පිම්මේ යන්න පුළුවන්,anger
"ගාමිනි, කියන්ඩ දෙයක් නැත්තන් කට වහගෙන ඉන්න ඔහේ කියවන්නේ නැතුව.",anger
ගාමිණී බලන්න ඔලුව පොඩ්ඩක් අතගාල. මේ නිකන් උල් දෙකක් පෑදීගෙන එනවද කියලා.,anger
මේක සත් මහල් ද සිව් මහල්ද? අනේ මන්දා?,surprise
මහජනයාගේ ආරක්ෂාව පතා පළාතකවත් පොලිස් නිලධාරියෙක් හෝ ගිනි නිවන භටයෙක් පෙනෙන්නවත් නැහැ. ඒකට බටහිර රටවල් වල.,anger
ගාමිණී ඔයා නම් පුදුම කෙනෙක්. මොලේ කොහෙද තියෙන්නේ.,anger
ගාමිණි ගම කනවා .,anger
භූමිකම්පාවක්ද දන්නෙ නැහැ. දෙයියෝ සාක්කි.,sadness
අහවල්ලුන්ගේ කොන්ත්‍රාත් කාරයෙක්ද කොහෙද වැඩේට අත ගහලා තියෙන්නේ?ආශ්චර්යය ආශ්චර්යය...,anger
අම්මෝ ඇලවෙලා තියෙන හැටි?,surprise
ඔය පහුගිය දවස්වල රට ඇතුලට ගෙන ආපු ප්‍රමිතියෙන් අඩු සිමෙන්ති යකඩ වල ප්‍රතිඵල තමයි. තව තව දේවල් ඉස්සරහට බලන්න පුළුවන් වෙයි.,anger
"සමහරු ගාමිණී මහතාට මෙහි අපහාස කර ප්‍රතිචාර දැක්වීම ඉතා කණගාටුදායකය. මට වැටහෙන අයුරින් ඔහු කණු යනුවෙන් අදහස් කර ඇත්තේ උස ගොඩනැගිළි තැනීමේදී අත්තිවාරම තැනීමට පෙර පොලව යටට බස්වන කණු ""පයිල්"" විය යුතුයි. සෙලින්කෝ වැනි උස ගොඩනැගිළි තැනීමේදී ප්‍රමිතියට අනුව මෙය කළ යුතුයි. උස ගොඩනැගිළි අතර සිදුවන විශාල භූමි චලනයන් වලින් ගොඩනැගිළිවල බිත්ති පිපිරී ඉරිතලා යෑම් සිදුවේ. අවට සිදුවන තද කම්පනද උස ගොඩනැගිළි වලට ඉතා අහිතකරයි. මේ ඇලවී ඇති ගොඩනැගිළ්ලේ තට්ටු දෙකක්ද පොලවට ගිලාබැස ඇතිබව පිංතූර‍වලින් පෙනේ. පොලවයට සිදුවී ඇතිදෙය සොයා බලන තුරු ‍මේ ආපදාවට හේතුව දැක්වීම අපහසුය.",sadness
සල්ලි වලට ඉතිරි අයද නිදහස් කරන්න පුළුවන්...එහෙත් හෘද ශාක්ශියෙන්.....?,sadness
අර උඩ පොටෝ එකේ දර්මසිරි නිදහස් වෙලා යනගමන් කියල මාංචු දල ගෙනියන්නේ කොහෙද?අදකාලේ නිදහස් කරන අයත් මාංචු දාලද ගෙනියන්නේ?,anger
වැරදි කළ අයට මැරෙන මොහොතේදීවත් කළ පව් මතක් වේවි.,anger
මෙයාවත් අතුරුදහන් උනෝතින් කොටකෙතනෙ අයට සැනසීමේ ඉන්න පුලුවන් වෙයි. එහෙම වේවා!,anger
"ලෝකේ අපේ රට වගේ රටක් කොහෙවත් නැහැ, මිනීමරලා පාපකර්මයන් ටික හෝදගන්නත් පුළුවන්. අනේ අපේ ලක්මවට වෙච්ච කොඩිවිනය නම් කපන්න බැහැ කපේට.",sadness
ආසියාවේ ආස්චාර්ය. අවසානයේ වැරැද්ද මැරුණ මිනිසුන්ගේ වගේ. භූතයෙක්ම තමා මරන්න ඇත්තේ. සාධාරණ ඡන්දයක් තිබුනොත් ලබන සැරේ ගමේ අය උත්තර දෙයි.,anger
ලංකාවේ නීතිය අනුව කපා කොටා දූෂනය කර මැරීම වරදක් නොවේද? මම හිතන්නේ ඒ මිනිස්සුම ගිනි තියාගන්න ඇති. මැරෙන්න ඇති. එතකොට මේ අහිංසක මිනිස්සු මැරුවේ කවිද? ,anger
අනේ මන්දා මේක නඩු ලෝකයක් හරි නීති රීති මේ ලංකාවට එන්නේ කවදද?,surprise
අනේ අපේ රටේ නීතිය!,disgust
කොහොමහරි අන්තිමට වුණේ තනිපංගලමේ හිටපු අහිංසක ගැහැණු ටිකක් මැරුණු එක විතරයි,sadness
අන්තිමටම කළකිරුනා මම මේ ප්‍රවෘත්තිය කියවලා.,sadness
ඇත්තටම මේ ප්‍රවෘත්තිය බලලා පුදුම විදියට මම කලකිරීමට පත්වුණා. එක අතකට මෙහෙම වෙන එකත් හොදයි. තණකොළ කන අපි වගේ සිංහලයෝ මින් එදිරියටවත් දේශපාලුවෝ පත්නොකර සිටීමට අදිටන්කර ගනීවි,sadness
මට දුක මම ඡන්දෙ දුන්න එක ගැනයි.,sadness
මට ගොඩාක්ම දුක අපේ රටේ අනාගත පරපුර ගැන. අද අපි මෙහෙම විදවනවා නම් අපේ අනාගත පරම්පරාවට මොන වගේ වින්නැහියක් කරාවිද? කමක් නැහැ ස්වභාව ධර්මය දඩුවම් කරාවි වැරදිකළවුන්ට හා වැරදි තීන්දු දුන් අයට.,sadness
දැන් එතකොට අර කහවත්තේ දේශපාලකයෙක්ගේ නිවසෙන් හමුඋන කුඩු පාර්සලයට මොකද උනේ? එකත් කුරක්කන් පිටි උනාද? දන්නැහැ උසාවියට යන පරක්කුවට ?,anger
අවරුදු 2ක 3ක කොටකෙතන නඩු වල සැකකරුවෝ හිරේ ඉන්නවා. ධර්මසිරි හිටියේ 1ක අවරුද්දයි. මෙයා නිදකස් වෙන්නේ කොහොමද කියා ප්‍රස්නයක් තියෙනවා. මොකද කලින් සැකකරුවන් 3ක් අතුරුදහන් වීම සැකයට කරුණක්.,surprise
එතකොට මාසයකට කලින් සමහර මාධ්‍ය කිව්වේ ධර්මසිරිලාගේ මෙහයවීමෙන් කොටකෙතන ඝාතන 15 ක් වුනා කියලා. ඒවා බොරුද ?,surprise
මෙවන් පුද්ගලයින් දේශපාලනයට ගේන්නෙත් ඉතින් අපේම ඡන්දදායකයොනේ.,anger
අනේ රටට ගිය කල? තමුන්ගේ මල්ලි කුඩු විකුණන බව දැනගෙන හිටියේ නැද්ද? බොරුවනේ කරන්නේ . රටම ආර්ථිකය වැටිලා යුද්දේ දිනුව එක හොදයි. ඒත් යුද්දෙට වියදම් කරපු සල්ලි ඉතුරු වෙනවා කෝ?,anger
"මගේ අම්මා හා තාත්තා‍ (වයස 60 හා 68) ගම්පොල සිංහපිටිය ආරාමය පාර 2006 දී කව්දෝ මරලා දාලා තිබුනා. එතකොට මම රට. තනිවම දෙන්න ජීවත් වුණා.තාම කිසි කෙනෙක් සැකපිට ඇල්ලුවේ නැහැ.නඩු හබ, පවුල් ප්‍රශ්න තරහකාරයෝ නැහැ. මට කව්රුහරි උදව් කරන්නකෝ කරුණාකරලා. පොලිසිය අල්ලලා දෙන්නම් කියනවා. තාම නැහැ.",anger
කැසිනො වලින් වෙන්නේ දුප්පත් මිනිහා හම්බකරන සොච්චමත් පිටරට මුදලාලිලාට බිල්ලට දෙන්නයි,disgust
මක් කිව්වා ?,surprise
කවුරු මොනවා කිව්වත් මම නම් අවංකවම ප්‍රීති වෙනවා,joy
වාර්තාවලට අනුව ආර්ථික වර්දනයක් සිදුවෙලා නම් ඇයි අපට ජීවත් වෙන්න මෙපමණ කරදර .,sadness
"ලොකු ලොක්කො නම් සංවර්ධනය වෙනවා, ජනතාව හිගාකනවා",anger
අනේ මන්දා!,sadness
"ගුවන් තොටුපල තිබෙනවා, අපිට ටිකට් ගන්න සල්ලි නැහැ. අධිවේගී මාර්ග තිබෙනවා, අපිට එවගේ යන්න වාහන නැහැ. පෙට්‍රෝල් මිල වැඩියි. නමුත් මන්ත්‍රිලට ,රජයේ නිලධාරීන්ට වාහන තීරුබදු රහිතව ගෙන්වන බලපත්‍ර තිබෙනවා. නොමිලයේ ඉන්ධන ලැබෙනවා. ඒ ගොල්ලන්ගේ ආර්ථිකය වේගයෙන් වර්ධනය වෙනවා. නමුත් අපේ ආර්ථිකය???",disgust
සාමාන්‍ය මිනිස්සුන්ට ජීවත් වෙන්න විදිහක් නැහැ. බඩුමිල අහස උසට.,anger
"කෙහෙම්මල් ආර්ථික කතාවක් එලියට දැම්මට පස්සේ තමයි, විදුලි බිල අමු අමුවේම වැඩිකළේ. මීට පස්සේ ඔය මගුල් වාර්තාව එලියට දාන්න ඕනේ නැහැ. තේරුනාද?",anger
"දුම්රිය හරහා පාලමක් දාන්න වත්කමක් නැති රටක්.( බේරුවල සිද්ධිය) නමුත් ඇමති, මන්ත්‍රීලා හොදට ජීවත් වෙනවා.",disgust
මම කිව්වාය කියලා හිතාගත්තොත් හොඳයි.,anger
එන්න එන්න හැම අතින්ම අපිට පහර වදිනවා. දැන් කළුවරේ ඉන්නත් වෙයි ඉස්සරහට.,sadness
හරිම ආඩම්බරයි අපේකම ගැන.,joy
ඕස්ට්‍රේලියාවේ සංස්කෘතිය ආක්‍රමනය කරනවා කියලා සමහරු පාරවල් ගානේ හු තිය තියා ගියේ නැද්ද....?,disgust
බොහොම සන්තෝෂයි,joy
හොඳ වැඩක්. නියම වුවමනාවක් ඇති අය ඉන්නවා පේනවා,joy
සේනක දන්නා දෙයක් කියන්න.,anger
මට දුකයි මේ ප්‍රතිචාර දැක්කම .,sadness
සිවුපාවන්ට තියෙන මොලය අපේ රටේ මිනිස්සුන්ට නැති එකයි දුක.,sadness
ගොඩක් ලස්සනයි.හොදට පුහුණු කරවලා.පුහුණු කරවපු කට්ටියට බොහොම ස්තූතියි,joy
හොදයි,joy
හරිම සුන්දරයි,joy
"අති විශිෂ්ටයි...! අති විශිෂ්ටයි...! එක වැකියකින් ලියා නිම කරන්න බැරි දරැනූ ගණයේ අපරාද වෙන මේ යූගයේ මිනිසූන් තූල ඇති තිරිසන් ගතිපැවතූම් විදහාපාම්න් අනූකම්පාව ගෑවිලාවත් නොතිබෙන මේ සමාජයේ, මේ තිරිසනූන් තිරිසන් සත්තූ උවත් මනූෂ්‍යයට වඩා උසස්.",joy
"නීතියක්, චාරයක්, යුක්තියක්, අයුක්තියක් නැති රටට මොන බල්ලෝද?",anger
නියම රංගනය අරිම අපුරු දර්ශනයක් ජනතා මුදල් කාබාසිනියා නොකර හරි ලස්සනට කරලා තිබෙනවා.,joy
